concept,description,text
"Should I include pattern in my design, or will X-FAB perform the pattern fill?","For technologies that specify density limits and include one or more blocking layers for the fill, the fab will perform it. The DRC runsets for our 180nm technologies can generate 'virtual' dummies that are taken into account during DRC. It is also possible to have the runset export the dummies to GDS such that you could merge it with your design. The problem with the dummy generation is that all structures are flat, which results in larger GDS files. Therefore it is recommended to let our Mask Tooling group do the pattern fill.
For capacitively critical structures, relevant metal layers only should be blocked rather than using the BLKALL layer.
The parasitic extraction runsets can C-extract these structures for determining their impact on the performance.
The fill routines observe spacing margin and dummy size rules -- one consequence of that is the fill routine is not guaranteed to satisfy the minimum density rules. When that's the case, you may need to apply some extra effort, such as manually drawing a denser fill pattern.","###Human:
Should I include pattern in my design, or will X-FAB perform the pattern fill?

###Assistant:
For technologies that specify density limits and include one or more blocking layers for the fill, the fab will perform it. The DRC runsets for our 180nm technologies can generate 'virtual' dummies that are taken into account during DRC. It is also possible to have the runset export the dummies to GDS such that you could merge it with your design. The problem with the dummy generation is that all structures are flat, which results in larger GDS files. Therefore it is recommended to let our Mask Tooling group do the pattern fill.
For capacitively critical structures, relevant metal layers only should be blocked rather than using the BLKALL layer.
The parasitic extraction runsets can C-extract these structures for determining their impact on the performance.
The fill routines observe spacing margin and dummy size rules -- one consequence of that is the fill routine is not guaranteed to satisfy the minimum density rules. When that's the case, you may need to apply some extra effort, such as manually drawing a denser fill pattern."
What is the purpose of the technology libraries with an 'HD' suffix?,"Using xh018 as example, TECH_XH018 is the primary technology library to use. TECH_XH018_HD is a supplementary library, to be used in addition to TECH_X018, when the HD (high density) logic libraries (D_CELLS_*HD*) are used. It accounts for the tighter routing grid used by the HD logic libraries for P&R.

Originally, the HD tech library was developed as a supplementary library, meaning both the normal and HD libraries should be used (referenced by a design library using an HD logic library for P&R). We then decided to make the HD tech library more complete such that on the HD tech lib needed to be referenced by the design library. In such case, if you try to reference both tech libs, you will get a conflict error. More recently, we have reverted back to the original style.","###Human:
What is the purpose of the technology libraries with an 'HD' suffix?

###Assistant:
Using xh018 as example, TECH_XH018 is the primary technology library to use. TECH_XH018_HD is a supplementary library, to be used in addition to TECH_X018, when the HD (high density) logic libraries (D_CELLS_*HD*) are used. It accounts for the tighter routing grid used by the HD logic libraries for P&R.

Originally, the HD tech library was developed as a supplementary library, meaning both the normal and HD libraries should be used (referenced by a design library using an HD logic library for P&R). We then decided to make the HD tech library more complete such that on the HD tech lib needed to be referenced by the design library. In such case, if you try to reference both tech libs, you will get a conflict error. More recently, we have reverted back to the original style."
Are ELDO views for Cadence PDKs available?,"Unfortunately we don't support ELDO views in our Cadence PDKs. An extra license is necessary to test such views in Cadence libraries, and we do not have that currently in X-FAB, so we cannot check and guarantee the correctness of such views.
In principle it might be possible for a customer to use ELDO as a simulator within Cadence, although a hurdle may be the netlisting for the simulator, which may have some specific aspects different from the netlisting for Spectre or for HSpice. The conclusion is that X-FAB does not support ELDO simulation from Virtuoso within Cadence and that we don't have any instructions for those attempting to do so.","###Human:
Are ELDO views for Cadence PDKs available?

###Assistant:
Unfortunately we don't support ELDO views in our Cadence PDKs. An extra license is necessary to test such views in Cadence libraries, and we do not have that currently in X-FAB, so we cannot check and guarantee the correctness of such views.
In principle it might be possible for a customer to use ELDO as a simulator within Cadence, although a hurdle may be the netlisting for the simulator, which may have some specific aspects different from the netlisting for Spectre or for HSpice. The conclusion is that X-FAB does not support ELDO simulation from Virtuoso within Cadence and that we don't have any instructions for those attempting to do so."
"Concerning electromigration tests, which AC/DC factor do you recommend?","We usually calculate with a DC to AC conversion factor of 10. 
It is referred to the Pass/Fail margin at 0.1% error probability for the individual test.","###Human:
Concerning electromigration tests, which AC/DC factor do you recommend?

###Assistant:
We usually calculate with a DC to AC conversion factor of 10. 
It is referred to the Pass/Fail margin at 0.1% error probability for the individual test."
Are the specified current density limits sufficient for metal width when considering ESD?,"Regarding the required metal width for ESD, usually the metal resistance is critical and not the current density/current capability of the metal. The current density for HBM ESD pulses is in the range of several hundred mA/um width (e.g. 300-400mA/um). Only narrow metal lines would be damaged by ESD stress currents. 

The metal resistance is critical since voltage drops across power rails will add to the pad clamping voltage. Especially in the rail-based protection scheme the power rail resistance is critical. Concerning the power rail width, power rails should provide as rule of thumb a DC current capability of 50mA for 2kV HBM ESD robustness.

A different metal resistance in the connections of multi-finger ESD protection devices can result in non-uniform current distribution and early failure of the ESD protection structure. Typical layout errors are e.g. largely different metal width in anode and cathode metal connections of diodes resulting in a current concentration in a small area of the diode or a largely different metal width between drain metal and source metal in ESD nmos snap-back devices resulting as well in non-uniform current distribution.","###Human:
Are the specified current density limits sufficient for metal width when considering ESD?

###Assistant:
Regarding the required metal width for ESD, usually the metal resistance is critical and not the current density/current capability of the metal. The current density for HBM ESD pulses is in the range of several hundred mA/um width (e.g. 300-400mA/um). Only narrow metal lines would be damaged by ESD stress currents. 

The metal resistance is critical since voltage drops across power rails will add to the pad clamping voltage. Especially in the rail-based protection scheme the power rail resistance is critical. Concerning the power rail width, power rails should provide as rule of thumb a DC current capability of 50mA for 2kV HBM ESD robustness.

A different metal resistance in the connections of multi-finger ESD protection devices can result in non-uniform current distribution and early failure of the ESD protection structure. Typical layout errors are e.g. largely different metal width in anode and cathode metal connections of diodes resulting in a current concentration in a small area of the diode or a largely different metal width between drain metal and source metal in ESD nmos snap-back devices resulting as well in non-uniform current distribution."
What is the procedure for an IO/ESD review by X-FAB of our design?,"The customer sends the layouts, schematics and all relevant descriptions (e.g. normal pin operating voltages, max. ratings, required ESD robustness, etc.) to X-FAB (Hotline).
It is important for the review that when any type of analog IO cell (LV or HV) is used, also the circuitry that connects directly to the pad must be shown.
We'll review the design data and provide first results via email.
There can then be further review loops after design changes.
There can then be also further online or face-to-face meetings for clarification - if required. 

A design review in an online meeting or face-to-face meeting is not appropriate. There is a higher risk that possible ESD design issues are overlooked when there is just a browsing through the design during an online meeting. Therefore an offline review is preferred.","###Human:
What is the procedure for an IO/ESD review by X-FAB of our design?

###Assistant:
The customer sends the layouts, schematics and all relevant descriptions (e.g. normal pin operating voltages, max. ratings, required ESD robustness, etc.) to X-FAB (Hotline).
It is important for the review that when any type of analog IO cell (LV or HV) is used, also the circuitry that connects directly to the pad must be shown.
We'll review the design data and provide first results via email.
There can then be further review loops after design changes.
There can then be also further online or face-to-face meetings for clarification - if required. 

A design review in an online meeting or face-to-face meeting is not appropriate. There is a higher risk that possible ESD design issues are overlooked when there is just a browsing through the design during an online meeting. Therefore an offline review is preferred."
How do I use the various GATES* logic libraries?,"The GATES* libraries are schematic & parameters only libraries which are used as referenced 'building block' gates libraries inside the D_CELLS* libraries. They support only the schematic side of the respective D_CELLS* libraries (the *rev_info.txt file of a given D_CELLS* library will specify which GATES* library it requires). Therefore the GATES* libraries cannot and must not be used as a stand-alone library.""","###Human:
How do I use the various GATES* logic libraries?

###Assistant:
The GATES* libraries are schematic & parameters only libraries which are used as referenced 'building block' gates libraries inside the D_CELLS* libraries. They support only the schematic side of the respective D_CELLS* libraries (the *rev_info.txt file of a given D_CELLS* library will specify which GATES* library it requires). Therefore the GATES* libraries cannot and must not be used as a stand-alone library."""
What is the GATES_PCELL library that is available for several technologies?,"The library is classified as an analog library for the purpose of my X-FAB organization:
under Design > EDA Files, filter to Libraries > Analog > GATES_PCELL.
However, unlike our other analog libraries, these GATES_PCELL libraries are freely available to customers -- there is no license requirement or fee.
Within the library is a userguide document. As the library name inplies, it provides parameterized cells for some types of gates (some basic logic functions, transmission gates, and other related special purpose cells).

The introduction in the userguide states: 'The intention of this library is to provide a cell library for analogue components. This includes layout, schematics and verilog. It is not the intention to use the components in a digital design flow. You must use characterised cells instead.'","###Human:
What is the GATES_PCELL library that is available for several technologies?

###Assistant:
The library is classified as an analog library for the purpose of my X-FAB organization:
under Design > EDA Files, filter to Libraries > Analog > GATES_PCELL.
However, unlike our other analog libraries, these GATES_PCELL libraries are freely available to customers -- there is no license requirement or fee.
Within the library is a userguide document. As the library name inplies, it provides parameterized cells for some types of gates (some basic logic functions, transmission gates, and other related special purpose cells).

The introduction in the userguide states: 'The intention of this library is to provide a cell library for analogue components. This includes layout, schematics and verilog. It is not the intention to use the components in a digital design flow. You must use characterised cells instead.'"
My layout was flagged for containing BOX elements. What are they and why are they not accepted?,"The issue with BOX elements is described in the 'Guideline for GDSII data' document on my X-FAB: https://my.xfab.com/search/_action/relation/596e0b4e-74cd-47af-96ae-87dd43b1bdf5/
Unlike the boundary, the BOX element is not a filled figure. Therefore it cannot be used for IC geometry.","###Human:
My layout was flagged for containing BOX elements. What are they and why are they not accepted?

###Assistant:
The issue with BOX elements is described in the 'Guideline for GDSII data' document on my X-FAB: https://my.xfab.com/search/_action/relation/596e0b4e-74cd-47af-96ae-87dd43b1bdf5/
Unlike the boundary, the BOX element is not a filled figure. Therefore it cannot be used for IC geometry."
Why do simulations of transistor leakage produce inaccurate results that are independent of device widths?,"This issue is related to the default gmin setting of the simulator, which is gmin=1e-12. This gives every node a conductivity of 1e-12 to aid convergence. That means basically it 'adds' at 1V a current of 1e-12A. Therefore this is not dependent on the transistor's width. To get correct results for such diode currents of small devices at T=27C you need to set gmin=1e-18. Please note that for some simulators (like hspice), there are separate parameters: gmin and gmindc.","###Human:
Why do simulations of transistor leakage produce inaccurate results that are independent of device widths?

###Assistant:
This issue is related to the default gmin setting of the simulator, which is gmin=1e-12. This gives every node a conductivity of 1e-12 to aid convergence. That means basically it 'adds' at 1V a current of 1e-12A. Therefore this is not dependent on the transistor's width. To get correct results for such diode currents of small devices at T=27C you need to set gmin=1e-18. Please note that for some simulators (like hspice), there are separate parameters: gmin and gmindc."
Can X-FAB provide IBIS models?,"X-FAB does not support IBIS models. This falls beyond the scope of X-FAB's modelling and library support, as we are a pure-play wafer manufacturer.
As I understand it, the IBIS model provides I/O device characteristics through V/I data and switching characteristics in ASCII format. The IBIS models are meant for the transfer of data and not to define an executable simulation model. They are component specific, which means that they model an entire component (e.g. an FPGA) and not just a particular I/O.
IBIS models are supposed to serve for implementing the behavior of I/Os into a technology independent PCB level EMC simulation environment. We cannot provide correct IBIS models since we don't have all the required package and pin related data. I/O cell characteristics are available in data sheets, Verilog models and especially the timing (Liberty format) files, which you could use to generate the switching characteristic for an IBIS model.","###Human:
Can X-FAB provide IBIS models?

###Assistant:
X-FAB does not support IBIS models. This falls beyond the scope of X-FAB's modelling and library support, as we are a pure-play wafer manufacturer.
As I understand it, the IBIS model provides I/O device characteristics through V/I data and switching characteristics in ASCII format. The IBIS models are meant for the transfer of data and not to define an executable simulation model. They are component specific, which means that they model an entire component (e.g. an FPGA) and not just a particular I/O.
IBIS models are supposed to serve for implementing the behavior of I/Os into a technology independent PCB level EMC simulation environment. We cannot provide correct IBIS models since we don't have all the required package and pin related data. I/O cell characteristics are available in data sheets, Verilog models and especially the timing (Liberty format) files, which you could use to generate the switching characteristic for an IBIS model."
What is the maximum recommended temperature for wafer post processing?,"For post-processing, we generally recommend that temperatures above 350C should be absolutely prevented. Higher temperatures can lead to metal-passivation or capacitor popping, IMD cracking, transistor shifts, metal voiding, enhanced Rpoly and especially RpolyH shifts depending on design, temperature ramp rate, duration and application atmosphere (N2, H2, etc.). If >350C cannot be avoided, we strongly recommend a DOE with the respective IC design using enhanced final test and also proper optical inspections after slightly accelerated post-processing stress (e.g. slightly increased ramp rates, slightly longer storage times).","###Human:
What is the maximum recommended temperature for wafer post processing?

###Assistant:
For post-processing, we generally recommend that temperatures above 350C should be absolutely prevented. Higher temperatures can lead to metal-passivation or capacitor popping, IMD cracking, transistor shifts, metal voiding, enhanced Rpoly and especially RpolyH shifts depending on design, temperature ramp rate, duration and application atmosphere (N2, H2, etc.). If >350C cannot be avoided, we strongly recommend a DOE with the respective IC design using enhanced final test and also proper optical inspections after slightly accelerated post-processing stress (e.g. slightly increased ramp rates, slightly longer storage times)."
Why can't my account download a memory compiler?,"Sorry, X-FAB does not distribute our memory compiler software to customers. Instead, a compiler must be run from my X-FAB. To do so, click the 'play' icon in the action column (when you rest your mouse pointer over the icon, the pop-up text 'Start the application of this container' will be displayed).
After specifying configuration options of the desired memory, the front-end design data will be available for download. As this is blackbox IP, the netlist and layout will not be provided. 

When you have decided on a particular configuration to use for a tape-out, please check with your X-FAB Sales contact to ensure the license agreement and P.O. are in place before submitting your design. Blackbox IP replacement approval is one of the first checks on a newly submitted SiFo -- if the L.A. and P.O. are not available, the SiFo will be held at the step and not proceed to have data input checks (includes DRC) performed.
The license incurs a one-time fee, rather than royalties, and you can then instantiate the IP as often as you'd like in subsequent designs. (For ROM IP, each future reprogramming will incur a small fee.)","###Human:
Why can't my account download a memory compiler?

###Assistant:
Sorry, X-FAB does not distribute our memory compiler software to customers. Instead, a compiler must be run from my X-FAB. To do so, click the 'play' icon in the action column (when you rest your mouse pointer over the icon, the pop-up text 'Start the application of this container' will be displayed).
After specifying configuration options of the desired memory, the front-end design data will be available for download. As this is blackbox IP, the netlist and layout will not be provided. 

When you have decided on a particular configuration to use for a tape-out, please check with your X-FAB Sales contact to ensure the license agreement and P.O. are in place before submitting your design. Blackbox IP replacement approval is one of the first checks on a newly submitted SiFo -- if the L.A. and P.O. are not available, the SiFo will be held at the step and not proceed to have data input checks (includes DRC) performed.
The license incurs a one-time fee, rather than royalties, and you can then instantiate the IP as often as you'd like in subsequent designs. (For ROM IP, each future reprogramming will incur a small fee.)"
"Comparing the metal thicknesses of the bond pad stack to those of the Structural and Geometrical Parameters, why are the metal layers thinner on the bond pad?","The Structural and Geometrical Parameters show the metal layer thicknesses as deposited. However if you have large oxide windows as are there on the bond pad structures, then the pad metal is thinned (etched back), and this results in thinner metal layers directly on the bonding pads. Some process documents have the bond pad diagrams showing each metal layer with an ARC layer on top and below the metal. These ARC layers are relatively thin. The deposited thickness parameters include the ARC layers since they affect the stack thickness and hence all the parasitic capacitances. When the passivation window is opened onto the top metal, the final ARC layer is removed. Hence the bonding pad diagrams and associated note indicate a lesser thickness.
		D_CELLS	What are DECAP cells for?	These cells provide capacitors between vdd and gnd to reduce digital noise and IR drop. They are usually inserted during P&R after routing (where existing routing allows). In a second step, FEED* cells always have to be inserted to fill up the cell rows in places where no DECAP cells could be added. You may add (the larger, DECAP*15/DECAP*25) cells also before routing to have a certain amounnt of capacitors in the block, but these cells might have an influence on routability of the block. See Innovus commands addFiller, deleteFiller for details.""","###Human:
Comparing the metal thicknesses of the bond pad stack to those of the Structural and Geometrical Parameters, why are the metal layers thinner on the bond pad?

###Assistant:
The Structural and Geometrical Parameters show the metal layer thicknesses as deposited. However if you have large oxide windows as are there on the bond pad structures, then the pad metal is thinned (etched back), and this results in thinner metal layers directly on the bonding pads. Some process documents have the bond pad diagrams showing each metal layer with an ARC layer on top and below the metal. These ARC layers are relatively thin. The deposited thickness parameters include the ARC layers since they affect the stack thickness and hence all the parasitic capacitances. When the passivation window is opened onto the top metal, the final ARC layer is removed. Hence the bonding pad diagrams and associated note indicate a lesser thickness.
		D_CELLS	What are DECAP cells for?	These cells provide capacitors between vdd and gnd to reduce digital noise and IR drop. They are usually inserted during P&R after routing (where existing routing allows). In a second step, FEED* cells always have to be inserted to fill up the cell rows in places where no DECAP cells could be added. You may add (the larger, DECAP*15/DECAP*25) cells also before routing to have a certain amounnt of capacitors in the block, but these cells might have an influence on routability of the block. See Innovus commands addFiller, deleteFiller for details."""
What is the PDL.txt file included with my results from the fab's DRC run?,"The PDL (primitive device list) file is the result of a special LVS run that only extracts the primitive devices (including parasitic devices) present in your layout. The parasitic devices included (p_*) would generally be diodes that are part of the structure of high voltage or isolated transistors.

The PDL file is for information only. There have been cases in some of our technologies where a primitive device may be superseded by an improved version, or conceivably some issue under certain operating conditions of a device may have been identified -- in such cases, our Customer Projects department would use the PDL to check if such devices are used in a customer's design and make sure the customer is aware of the device's status.","###Human:
What is the PDL.txt file included with my results from the fab's DRC run?

###Assistant:
The PDL (primitive device list) file is the result of a special LVS run that only extracts the primitive devices (including parasitic devices) present in your layout. The parasitic devices included (p_*) would generally be diodes that are part of the structure of high voltage or isolated transistors.

The PDL file is for information only. There have been cases in some of our technologies where a primitive device may be superseded by an improved version, or conceivably some issue under certain operating conditions of a device may have been identified -- in such cases, our Customer Projects department would use the PDL to check if such devices are used in a customer's design and make sure the customer is aware of the device's status."
"The PVS.sum DRC result will last error counts for each rule like this:
RULECHECK B1M2MIM ............. Total Result   68 ( 80)
What is the distinction between the two given numbers?","In this example, the 68 is the hierarchy result and the 80 is the flat run result.","###Human:
The PVS.sum DRC result will last error counts for each rule like this:
RULECHECK B1M2MIM ............. Total Result   68 ( 80)
What is the distinction between the two given numbers?

###Assistant:
In this example, the 68 is the hierarchy result and the 80 is the flat run result."
How can I generate the PDL.txt file that is included with my DRC results from the fab?,"The primitive device list is generated using PVS LVS. The command line option requires setting parameters in a header file. Using the PVS LVS GUI may be easier for most users to extract a list of the primitive devices used in a given layout.

1. Open layout (read-only is OK)
2. PVS -> Run LVS
3. Input -> exclude comparison setup
4. Output -> LVS Report -> Click 'SET' button.
5. Apply/Submit to initiate the run.

Results:
Files/Output Files: Extraction report -> scroll to bottom of report.
Or in the Extraction tab, Uncheck 'hide statistic' then click on flat device count.
Or you can just open the <cell name>_lvs.sum file from the run directory. The list is at the end of the file.","###Human:
How can I generate the PDL.txt file that is included with my DRC results from the fab?

###Assistant:
The primitive device list is generated using PVS LVS. The command line option requires setting parameters in a header file. Using the PVS LVS GUI may be easier for most users to extract a list of the primitive devices used in a given layout.

1. Open layout (read-only is OK)
2. PVS -> Run LVS
3. Input -> exclude comparison setup
4. Output -> LVS Report -> Click 'SET' button.
5. Apply/Submit to initiate the run.

Results:
Files/Output Files: Extraction report -> scroll to bottom of report.
Or in the Extraction tab, Uncheck 'hide statistic' then click on flat device count.
Or you can just open the <cell name>_lvs.sum file from the run directory. The list is at the end of the file."
Why didn't the fab's pattern fill clear the R1DF (minimum DIFF density) errors?,"As flatly stated in the 'Dummy Pattern Generation' section of the Design Rule Specification, 'The dummy pattern generation script does not guarantee that the minimum and maximum structure densities of the related layer are met.' The document further recommends 'to use X-FAB's dummy pattern generation option (DUMMY_FILL included in the DRC for preview) to create dummy pattern. If the generated dummy pattern is not sufficient to meet the minimum requirements for pattern density, customers can draw additional dummy pattern following the dummy design rules...' -- the referenced R1DF application note may be helpful (especially for the case of poly resistor arrays), or other situations might be solved by placing larger DIFF dummy structures. The *.rdb files from DRC will indicate the pattern density of flagged windows (R1DF is checked in 200um square windows stepped by 100um), which is given by the 'DV' parameter (multiply it by 100 for percentage).","###Human:
Why didn't the fab's pattern fill clear the R1DF (minimum DIFF density) errors?

###Assistant:
As flatly stated in the 'Dummy Pattern Generation' section of the Design Rule Specification, 'The dummy pattern generation script does not guarantee that the minimum and maximum structure densities of the related layer are met.' The document further recommends 'to use X-FAB's dummy pattern generation option (DUMMY_FILL included in the DRC for preview) to create dummy pattern. If the generated dummy pattern is not sufficient to meet the minimum requirements for pattern density, customers can draw additional dummy pattern following the dummy design rules...' -- the referenced R1DF application note may be helpful (especially for the case of poly resistor arrays), or other situations might be solved by placing larger DIFF dummy structures. The *.rdb files from DRC will indicate the pattern density of flagged windows (R1DF is checked in 200um square windows stepped by 100um), which is given by the 'DV' parameter (multiply it by 100 for percentage)."
What is the basis for Schottky diode forward bias limit?,"It is important not to exceed the Vanode-Vcathode operating limit for the forward direction current. This would tend to exceed the allowable thermal load of the diode. Select an appropriate size for the intended current and to be safe, apply some margin with respect to the size.","###Human:
What is the basis for Schottky diode forward bias limit?

###Assistant:
It is important not to exceed the Vanode-Vcathode operating limit for the forward direction current. This would tend to exceed the allowable thermal load of the diode. Select an appropriate size for the intended current and to be safe, apply some margin with respect to the size."
What is the convention for the SiFo major and minor versioning?,The major version indicates how often a SiFo was sent to X-FAB AND went into the Data Input Check loop. The minor version indicates how often a SiFo was edited AND saved in my X-FAB.,"###Human:
What is the convention for the SiFo major and minor versioning?

###Assistant:
The major version indicates how often a SiFo was sent to X-FAB AND went into the Data Input Check loop. The minor version indicates how often a SiFo was edited AND saved in my X-FAB."
What are X-FAB's recommendations for timing signoff?,"For 0.18 tech STA we have the 0.18um-ApplicationNote-Digital_Implementation_Guidelines document.
https://my.xfab.com/search/_action/relation/4aeecb61-a2b5-4d16-ab9a-f6a4457c583f/
On page 7, section 6.3 it states  A further set_timing derate ... is not needed as only the variation of the pin input capacitances is modelled in X-FAB's 180nm libraries.

Further up to now we did not recommend any derating to customers. It's your responsibility (and sometimes based on your internal quality requirement) how much margin you add to a timing analysis.

In our standard P&R STA's we always use OCV (with no further de rating) in PrimeTime as this is PT's default method. In Innovus we run up to routing the simple and faster bc/wc delay calculation, only for post-route optimization we switch to OCV (when we don't forget that one line in the scripting...).

From our customers base we know, we could give you few scenarios:

Customer 1: (mostly XH018): they add +/-15% to the delay calculation (requested by their quality department):

set_timing_derate -cell_delay -net_delay -early 0.85
set_timing_derate -cell_delay -net_delay -late 1.15
in sdc

Customer 2: We used +/-5% for their XP018 redesign (their first design had no timing closure with our standard settings without derating, so they needed a special process modification to get working silicon at all).

set_timing_derate -cell_delay -net_delay -early 0.95
set_timing_derate -cell_delay -net_delay -late 1.05

(Their redesign had timing closure with this additional margin).

For a complete STA you have to run 3 sets:

- the 'normal' one without derating
- the pessimistic one:
set_timing_derate -cell_delay -net_delay -early 0.95
set_timing_derate -cell_delay -net_delay -late 1.05
- and the optimistic one:
set_timing_derate -cell_delay -net_delay -early 1.05
set_timing_derate -cell_delay -net_delay -late 0.95

to have a complete picture.

Basically we believe the more derating margin you add, the lesser confidence you have into the quality of the spice models of the transistors and all the timing characterization of the digital libraries and parasitic extraction.","###Human:
What are X-FAB's recommendations for timing signoff?

###Assistant:
For 0.18 tech STA we have the 0.18um-ApplicationNote-Digital_Implementation_Guidelines document.
https://my.xfab.com/search/_action/relation/4aeecb61-a2b5-4d16-ab9a-f6a4457c583f/
On page 7, section 6.3 it states  A further set_timing derate ... is not needed as only the variation of the pin input capacitances is modelled in X-FAB's 180nm libraries.

Further up to now we did not recommend any derating to customers. It's your responsibility (and sometimes based on your internal quality requirement) how much margin you add to a timing analysis.

In our standard P&R STA's we always use OCV (with no further de rating) in PrimeTime as this is PT's default method. In Innovus we run up to routing the simple and faster bc/wc delay calculation, only for post-route optimization we switch to OCV (when we don't forget that one line in the scripting...).

From our customers base we know, we could give you few scenarios:

Customer 1: (mostly XH018): they add +/-15% to the delay calculation (requested by their quality department):

set_timing_derate -cell_delay -net_delay -early 0.85
set_timing_derate -cell_delay -net_delay -late 1.15
in sdc

Customer 2: We used +/-5% for their XP018 redesign (their first design had no timing closure with our standard settings without derating, so they needed a special process modification to get working silicon at all).

set_timing_derate -cell_delay -net_delay -early 0.95
set_timing_derate -cell_delay -net_delay -late 1.05

(Their redesign had timing closure with this additional margin).

For a complete STA you have to run 3 sets:

- the 'normal' one without derating
- the pessimistic one:
set_timing_derate -cell_delay -net_delay -early 0.95
set_timing_derate -cell_delay -net_delay -late 1.05
- and the optimistic one:
set_timing_derate -cell_delay -net_delay -early 1.05
set_timing_derate -cell_delay -net_delay -late 0.95

to have a complete picture.

Basically we believe the more derating margin you add, the lesser confidence you have into the quality of the spice models of the transistors and all the timing characterization of the digital libraries and parasitic extraction."
What films are on the wafer backside?,"As example from a particular technology flow, backside films include a stack of oxide, nitride, TEOS, SION, nitride (the most outer layer). There may be some differences depending on technology and module options.
During manufacture, the backside is not necessarily protected from what is grown or deposited on the front side (this would be the case, for example, when wafers are loaded for batch processing into a tool in a quartz boat), so there is some accumulation of films on the backside. For many applications, wafers would undergo a backgrind operation to thin total wafer thickness, which also removes such films.","###Human:
What films are on the wafer backside?

###Assistant:
As example from a particular technology flow, backside films include a stack of oxide, nitride, TEOS, SION, nitride (the most outer layer). There may be some differences depending on technology and module options.
During manufacture, the backside is not necessarily protected from what is grown or deposited on the front side (this would be the case, for example, when wafers are loaded for batch processing into a tool in a quartz boat), so there is some accumulation of films on the backside. For many applications, wafers would undergo a backgrind operation to thin total wafer thickness, which also removes such films."
What is the crystal orientation of X-FAB wafers?,"The crystal orientation for 8-inch CMOS wafers is:
Wafer surface plane : [100]
Wafer notch direction : [110]","###Human:
What is the crystal orientation of X-FAB wafers?

###Assistant:
The crystal orientation for 8-inch CMOS wafers is:
Wafer surface plane : [100]
Wafer notch direction : [110]"
Why is my design flagged for including the PIMP layer?,"The PIMP layer is not available with the ISL main module. There is a blanket implant where active is open (DIFF). If PIMP is included in your GDS, a critical (not fatal) error is flagged since PIMP is only valid for MOS main module flow. For ISL flow, either omit PIMP layer from GDS to prevent the error, or waive the error.","###Human:
Why is my design flagged for including the PIMP layer?

###Assistant:
The PIMP layer is not available with the ISL main module. There is a blanket implant where active is open (DIFF). If PIMP is included in your GDS, a critical (not fatal) error is flagged since PIMP is only valid for MOS main module flow. For ISL flow, either omit PIMP layer from GDS to prevent the error, or waive the error."
"Considering rules W1DF and W2DF, what is the risk with narrow DIFF lines?","One possible risk for narrow DIFF lines is problems with proper silicidation, which may result in different resistances than otherwise expected.","###Human:
Considering rules W1DF and W2DF, what is the risk with narrow DIFF lines?

###Assistant:
One possible risk for narrow DIFF lines is problems with proper silicidation, which may result in different resistances than otherwise expected."
"When we try to fix rule W5M1 {Minimum MET1 width joining wide MET1 track (>35 歩} errors, we sometimes get inexplicable errors.","This rule is marked in red in the specification, which means it cannot be 100% reliably checked by verification decks. The rule requires sizing operations on layers that can produce artifacts on non-orthogonal shapes. That's why the rule is unselected by default in the runset. It can be activated and it provides some assistance but it is the user's final responsibility to check manually. This is also why we don't check the rule at tape in.","###Human:
When we try to fix rule W5M1 {Minimum MET1 width joining wide MET1 track (>35 歩} errors, we sometimes get inexplicable errors.

###Assistant:
This rule is marked in red in the specification, which means it cannot be 100% reliably checked by verification decks. The rule requires sizing operations on layers that can produce artifacts on non-orthogonal shapes. That's why the rule is unselected by default in the runset. It can be activated and it provides some assistance but it is the user's final responsibility to check manually. This is also why we don't check the rule at tape in."
Does X-FAB perform metal fill for xb06?,"Although the xb06 Peripheral Ring diagram available on my X-FAB shows the NOFILLM layer, we do not normally perform metal fill for XB06. However the rules are in place, and we have done it as a special case when requested by a customer. So unless it is requested, there is no need to include the NOFILLM layer.
The xb06 Cadence PDK has the layer defined: it's specified in the stream layer table, but the layer palette has the layer set as invalid, so a user would have to change it to valid to be able to draw with it.","###Human:
Does X-FAB perform metal fill for xb06?

###Assistant:
Although the xb06 Peripheral Ring diagram available on my X-FAB shows the NOFILLM layer, we do not normally perform metal fill for XB06. However the rules are in place, and we have done it as a special case when requested by a customer. So unless it is requested, there is no need to include the NOFILLM layer.
The xb06 Cadence PDK has the layer defined: it's specified in the stream layer table, but the layer palette has the layer set as invalid, so a user would have to change it to valid to be able to draw with it."
What is the intent of design rule B1PADM?,"For B1PADM there are several reasons: one was to get similar heights of the pads. With different definition layers, different oxide stacks grow below the pad. For CMOSDEF e.g. there is a thinner oxide is grown, for DMOSDEF a thicker oxide is grown, without CMOSDEF and DMOSDEF an even thicker one is grown. DMOSDEF also forbids several design layers like POLY1 or DIFF in this area.","###Human:
What is the intent of design rule B1PADM?

###Assistant:
For B1PADM there are several reasons: one was to get similar heights of the pads. With different definition layers, different oxide stacks grow below the pad. For CMOSDEF e.g. there is a thinner oxide is grown, for DMOSDEF a thicker oxide is grown, without CMOSDEF and DMOSDEF an even thicker one is grown. DMOSDEF also forbids several design layers like POLY1 or DIFF in this area."
What is the intent of design rule B1PATR?,B1PATR serves to reduce capacitive coupling between the pad metal and the silicon around it.,"###Human:
What is the intent of design rule B1PATR?

###Assistant:
B1PATR serves to reduce capacitive coupling between the pad metal and the silicon around it."
